,"Motor Case Outside Ave. (C)","Heatsink Inside Ave. (C)","PCO U Pad Ave. (C)","PCO U Package Ave. (C)","PCO V Pad Ave. (C)","PCO V Package Ave. (C)","PCO W Pad Ave. (C)","PCO W Package Ave. (C)"
"1","19.663","19.630","19.611","19.596","19.585","19.563","19.496","19.466"
"2","19.656","19.615","19.612","19.593","19.578","19.552","19.508","19.470"
"3","19.668","19.627","19.616","19.590","19.590","19.564","19.508","19.474"
"4","19.668","19.631","19.620","19.598","19.590","19.564","19.520","19.475"
"5","19.669","19.624","19.617","19.598","19.591","19.561","19.513","19.483"
"6","19.680","19.632","19.621","19.602","19.588","19.562","19.509","19.469"
"7","19.666","19.626","19.614","19.592","19.581","19.562","19.510","19.473"
"8","19.674","19.633","19.619","19.604","19.585","19.567","19.511","19.485"
"9","19.671","19.630","19.627","19.601","19.589","19.563","19.619","19.738"
"10","19.672","19.631","19.716","20.727","21.114","20.300","21.496","21.452"
"11","19.672","19.643","20.319","22.295","22.012","21.265","23.075","22.604"
"12","19.662","19.673","21.100","23.481","22.425","21.902","24.080","23.352"
"13","19.658","19.751","21.829","24.393","22.686","22.351","24.776","23.919"
"14","19.674","19.834","22.484","25.133","22.922","22.716","25.314","24.390"
"15","19.663","19.934","23.077","25.774","23.121","23.059","25.770","24.795"
"16","19.657","20.168","24.094","26.853","23.501","23.678","26.577","25.562"
"17","19.657","20.297","24.558","27.336","23.678","23.976","26.946","25.901"
"18","19.658","20.434","24.992","27.789","23.874","24.279","27.318","26.243"
"19","19.658","20.563","25.398","28.216","24.040","24.559","27.657","26.575"
"20","19.663","20.700","25.785","28.621","24.225","24.850","27.999","26.885"
"21","19.678","20.844","26.164","29.027","24.405","25.141","28.346","27.205"
"22","19.675","20.980","26.529","29.391","24.564","25.403","28.666","27.507"
"23","19.672","21.110","26.864","29.749","24.734","25.672","28.984","27.795"
"24","19.668","21.250","27.192","30.091","24.893","25.941","29.286","28.079"
"25","19.680","21.516","27.841","30.747","25.214","26.454","29.886","28.643"
"26","19.689","21.653","28.136","31.065","25.369","26.708","30.187","28.923"
"27","19.693","21.786","28.438","31.371","25.524","26.951","30.479","29.188"
"28","19.690","21.919","28.725","31.667","25.660","27.184","30.749","29.461"
"29","19.709","22.055","29.013","31.959","25.816","27.416","31.023","29.712"
"30","19.705","22.181","29.289","32.240","25.956","27.652","31.307","29.981"
"31","19.721","22.318","29.562","32.525","26.111","27.884","31.577","30.226"
"32","19.714","22.451","29.820","32.788","26.240","28.106","31.833","30.478"
"33","19.726","22.584","30.070","33.061","26.384","28.327","32.096","30.719"
"34","19.730","22.831","30.559","33.562","26.647","28.736","32.600","31.186"
"35","19.746","22.957","30.801","33.803","26.776","28.943","32.848","31.427"
"36","19.758","23.094","31.020","34.047","26.898","29.142","33.082","31.650"
"37","19.766","23.212","31.257","34.292","27.035","29.345","33.330","31.865"
"38","19.762","23.341","31.480","34.522","27.160","29.541","33.567","32.103"
"39","19.785","23.459","31.699","34.748","27.278","29.725","33.786","32.322"
"40","19.778","23.578","31.903","34.964","27.400","29.917","34.031","32.541"
"41","19.790","23.703","32.115","35.194","27.519","30.104","34.254","32.749"
"42","19.802","23.814","32.323","35.395","27.633","30.280","34.473","32.965"
"43","19.821","24.051","32.714","35.811","27.859","30.623","34.911","33.374"
"44","19.833","24.187","32.915","36.012","27.973","30.795","35.120","33.571"
"45","19.837","24.298","33.105","36.217","28.084","30.970","35.335","33.769"
"46","19.849","24.402","33.288","36.399","28.192","31.128","35.536","33.966"
"47","19.853","24.524","33.467","36.586","28.288","31.285","35.737","34.159"
"48","19.854","24.628","33.643","36.761","28.399","31.446","35.938","34.335"
"49","19.858","24.742","33.825","36.955","28.502","31.607","36.132","34.536"
"50","19.870","24.846","33.993","37.134","28.606","31.760","36.329","34.711"
"51","19.878","24.949","34.158","37.306","28.699","31.910","36.519","34.887"
"52","19.890","25.164","34.491","37.657","28.902","32.210","36.899","35.256"
"53","19.902","25.278","34.659","37.818","29.002","32.356","37.085","35.435"
"54","19.917","25.382","34.816","37.982","29.094","32.499","37.268","35.606"
"55","19.929","25.475","34.970","38.147","29.183","32.641","37.440","35.767"
"56","19.933","25.578","35.116","38.300","29.276","32.777","37.626","35.943"
"57","19.923","25.693","35.277","38.457","29.372","32.909","37.787","36.104"
