Frequency [Mhz], Amplitude [dBm]
2399.950195,-122.688
2399.950439,-121.188
2399.950439,-121.000
2399.950684,-119.188
2399.950928,-121.688
2399.951172,-120.500
2399.951416,-123.688
2399.951660,-122.688
2399.951904,-123.188
2399.952148,-121.688
2399.952148,-122.688
2399.952393,-123.188
2399.952637,-122.688
2399.952881,-121.188
2399.953125,-120.500
2399.953369,-123.688
2399.953613,-117.000
2399.953613,-120.188
2399.953857,-119.688
2399.954102,-117.500
2399.954346,-124.188
2399.954590,-123.688
2399.954834,-121.188
2399.955078,-123.188
2399.955566,-122.688
2399.955566,-118.188
2399.955811,-122.188
2399.956055,-122.188
2399.956299,-120.188
2399.956543,-121.500
2399.956787,-119.188
2399.957031,-123.188
2399.957275,-121.000
2399.957275,-122.688
2399.957520,-121.500
2399.957764,-123.688
2399.958008,-119.688
2399.958252,-121.188
2399.958496,-120.500
2399.958740,-123.688
2399.958740,-122.188
2399.958984,-122.188
2399.959229,-122.188
2399.959473,-124.188
2399.959717,-117.188
2399.959961,-120.688
2399.960205,-123.688
2399.960693,-122.688
2399.960693,-119.500
2399.960938,-121.000
2399.961182,-123.188
2399.961426,-123.188
2399.961670,-122.688
2399.961914,-123.688
2399.962158,-119.000
2399.962402,-122.188
2399.962402,-122.688
2399.962647,-120.688
2399.962891,-118.500
2399.963135,-120.500
2399.963379,-120.688
2399.963623,-121.000
2399.963867,-121.188
2399.963867,-122.188
2399.964111,-122.688
2399.964356,-121.688
2399.964600,-120.688
2399.964844,-122.688
2399.965088,-120.188
2399.965332,-122.188
2399.965576,-120.500
2399.965576,-118.688
2399.966064,-118.688
2399.966309,-120.688
2399.966553,-121.000
2399.966797,-121.688
2399.967041,-121.688
2399.967285,-119.688
2399.967529,-120.188
2399.967529,-121.188
2399.967773,-124.188
2399.968018,-123.688
2399.968262,-121.000
2399.968506,-120.688
2399.968750,-124.188
2399.968994,-119.688
2399.969238,-121.188
2399.969238,-123.188
2399.969482,-120.688
2399.969727,-121.188
2399.969971,-122.688
2399.970215,-123.188
2399.970459,-120.000
2399.970703,-121.188
2399.970703,-124.188
2399.971191,-123.188
2399.971436,-122.188
2399.971680,-120.688
2399.971924,-121.188
2399.972168,-121.688
2399.972412,-124.188
2399.972656,-123.688
2399.972656,-123.188
2399.972900,-124.188
2399.973145,-119.500
2399.973389,-119.188
2399.973633,-120.688
2399.973877,-123.188
2399.974121,-124.188
2399.974365,-120.688
2399.974365,-118.688
2399.974609,-119.688
2399.974854,-119.688
2399.975098,-118.000
2399.975342,-121.688
2399.975586,-120.500
2399.975830,-121.688
2399.975830,-121.188
2399.976074,-120.500
2399.976563,-120.188
2399.976807,-121.688
2399.977051,-118.688
2399.977295,-124.188
2399.977539,-121.688
2399.977783,-122.688
2399.977783,-123.188
2399.978027,-121.188
2399.978272,-120.688
2399.978516,-120.000
2399.978760,-121.188
2399.979004,-123.188
2399.979248,-124.188
2399.979492,-123.188
2399.979492,-118.188
2399.979736,-119.000
2399.979981,-119.500
2399.980225,-119.188
2399.980469,-122.688
2399.980713,-122.688
2399.980957,-121.688
2399.980957,-124.188
2399.981201,-123.188
2399.981689,-117.688
2399.981934,-121.000
2399.982178,-121.688
2399.982422,-122.688
2399.982666,-123.188
2399.982910,-120.688
2399.982910,-119.688
2399.983154,-121.500
2399.983398,-123.688
2399.983643,-123.188
2399.983887,-122.688
2399.984131,-119.500
2399.984375,-122.688
2399.984619,-124.188
2399.984619,-119.188
2399.984863,-119.188
2399.985107,-121.188
2399.985352,-121.188
2399.985596,-123.188
2399.985840,-119.500
2399.986084,-120.500
2399.986084,-123.188
2399.986328,-120.188
2399.986572,-118.688
2399.987061,-121.188
2399.987305,-123.188
2399.987549,-123.688
2399.987793,-121.500
2399.988037,-123.188
2399.988037,-122.688
2399.988281,-122.688
2399.988525,-122.688
2399.988770,-122.188
2399.989014,-123.188
2399.989258,-120.688
2399.989502,-120.688
2399.989746,-123.688
