Frequency,Amplitude
2399.899902,-123.625
2399.900391,-123.125
2399.900879,-120.625
2399.901367,-118.438
2399.901611,-122.625
2399.9021,-117.938
2399.902832,-120.438
2399.90332,-122.125
2399.903564,-120.125
2399.904053,-118.938
2399.904541,-120.438
2399.905029,-120.938
2399.905273,-122.125
2399.905762,-121.625
2399.90625,-119.625
2399.906494,-115.125
2399.906982,-123.125
2399.907471,-121.125
2399.908203,-123.125
2399.908447,-121.625
2399.908936,-119.625
2399.909424,-120.125
2399.909912,-120.938
2399.910156,-122.625
2399.910645,-121.125
2399.911133,-122.625
2399.911621,-117.125
2399.911865,-123.125
2399.912354,-118.938
2399.912842,-121.625
2399.913574,-123.125
2399.913818,-118.438
2399.914307,-119.125
2399.914795,-120.125
2399.915283,-121.125
2399.915527,-120.125
2399.916016,-119.438
2399.916504,-119.438
2399.916748,-120.438
2399.917236,-122.125
2399.917725,-115.125
2399.918457,-121.125
2399.918701,-120.438
2399.919189,-123.125
2399.919678,-119.125
2399.920166,-119.938
2399.92041,-122.625
2399.920898,-120.125
2399.921387,-118.938
2399.921875,-121.625
2399.922119,-120.125
2399.922607,-120.625
2399.923096,-121.125
2399.923828,-123.125
2399.924072,-122.625
2399.924561,-122.125
2399.925049,-120.625
2399.925537,-121.625
2399.925781,-118.938
2399.92627,-120.125
2399.926758,-122.625
2399.927246,-122.125
2399.92749,-121.125
2399.927979,-121.125
2399.928467,-122.625
2399.928711,-121.625
2399.929443,-123.625
2399.929932,-119.625
2399.93042,-122.125
2399.930664,-118.438
2399.931152,-121.625
2399.931641,-122.625
2399.932129,-123.625
2399.932373,-121.625
2399.932861,-119.125
2399.93335,-118.938
2399.933838,-120.125
2399.934326,-120.625
2399.934814,-120.625
2399.935303,-121.625
2399.935791,-123.125
2399.936035,-115.625
2399.936523,-122.125
2399.937012,-123.625
2399.9375,-120.625
2399.937744,-121.625
2399.938232,-121.125
2399.938721,-119.625
2399.938965,-120.125
2399.939697,-116.938
2399.940186,-120.438
2399.940674,-120.625
2399.940918,-120.438
2399.941406,-120.125
2399.941895,-123.125
2399.942383,-121.125
2399.942627,-119.125
2399.943115,-121.125
2399.943604,-120.625
2399.944092,-119.938
2399.944336,-122.625
2399.945068,-122.125
2399.945557,-121.625
2399.946045,-122.625
